poll_id,question_id,response,xtab1_var,xtab1_val,xtab2_var,xtab2_val,pct,notes_x,total_percentage,percent_norm,favorability,response_order,response_shortened,pct_fav,date,pollster,sample_size,margin_of_error,demographic,method of contact,country,crosstabs_entered,crosstabs_not_entered,is_complete,"If incomplete, emailed?",Link,notes_y,question_text,short_question,benefit_eligibility,short_question_len,response_scale,val_order,question_text_wrap,pollster_wrap
4,15,Strongly in favour,-,-,-,-,6.8,,100.0,0.068,1,2,Strongly in favour,6.8,2016-12-31,ESS,880.0,,15+,In-person,Iceland,-,,False,,https://citizensincome.org/wp-content/uploads/2017/11/European-Social-Survey-survey-on-Basic-Income.pdf,Only year specified,"Some countries are currently talking about introducing a basic income scheme. In a moment I will ask you to tell me whether you are against or in favour of this scheme. First, I will give you some more details. The highlighted box at the top of this card shows the main features of the scheme. A basic income scheme includes all of the following: ...READ OUT...- The government pays everyone a monthly income to cover essential living costs. - It replaces Maley other social benefits. - The purpose is to guarantee everyone a minimum standard of living. - Everyone receives the same amount regardless of whether or not they are working. - People also keep the money they earn from work or other sources. - This scheme is paid for by taxes. INTERVIEWER: PAUSE TO GIVE THE RESPONDENT TIME TO READ CARD. Overall, would you be against or in favour of having this scheme in [country]?",UBI [framed as essential living costs w/o work requirement],,59,,0,"Some countries are currently<br>talking about introducing a<br>basic income scheme. In a<br>moment I will ask you to tell<br>me whether you are against or<br>in favour of this scheme.<br>First, I will give you some<br>more details. The highlighted<br>box at the top of this card<br>shows the main features of the<br>scheme. A basic income scheme<br>includes all of the following:<br>...READ OUT...- The government<br>pays everyone a monthly income<br>to cover essential living<br>costs. - It replaces Maley<br>other social benefits. - The<br>purpose is to guarantee<br>everyone a minimum standard of<br>living. - Everyone receives<br>the same amount regardless of<br>whether or not they are<br>working. - People also keep<br>the money they earn from work<br>or other sources. - This<br>scheme is paid for by taxes.<br>INTERVIEWER: PAUSE TO GIVE THE<br>RESPONDENT TIME TO READ CARD.<br>Overall, would you be against<br>or in favour of having this<br>scheme in [country]?",ESS
4,15,In favour,-,-,-,-,39.2,,100.0,0.392,1,1,In favour,39.2,2016-12-31,ESS,880.0,,15+,In-person,Iceland,-,,False,,https://citizensincome.org/wp-content/uploads/2017/11/European-Social-Survey-survey-on-Basic-Income.pdf,Only year specified,"Some countries are currently talking about introducing a basic income scheme. In a moment I will ask you to tell me whether you are against or in favour of this scheme. First, I will give you some more details. The highlighted box at the top of this card shows the main features of the scheme. A basic income scheme includes all of the following: ...READ OUT...- The government pays everyone a monthly income to cover essential living costs. - It replaces Maley other social benefits. - The purpose is to guarantee everyone a minimum standard of living. - Everyone receives the same amount regardless of whether or not they are working. - People also keep the money they earn from work or other sources. - This scheme is paid for by taxes. INTERVIEWER: PAUSE TO GIVE THE RESPONDENT TIME TO READ CARD. Overall, would you be against or in favour of having this scheme in [country]?",UBI [framed as essential living costs w/o work requirement],,59,,0,"Some countries are currently<br>talking about introducing a<br>basic income scheme. In a<br>moment I will ask you to tell<br>me whether you are against or<br>in favour of this scheme.<br>First, I will give you some<br>more details. The highlighted<br>box at the top of this card<br>shows the main features of the<br>scheme. A basic income scheme<br>includes all of the following:<br>...READ OUT...- The government<br>pays everyone a monthly income<br>to cover essential living<br>costs. - It replaces Maley<br>other social benefits. - The<br>purpose is to guarantee<br>everyone a minimum standard of<br>living. - Everyone receives<br>the same amount regardless of<br>whether or not they are<br>working. - People also keep<br>the money they earn from work<br>or other sources. - This<br>scheme is paid for by taxes.<br>INTERVIEWER: PAUSE TO GIVE THE<br>RESPONDENT TIME TO READ CARD.<br>Overall, would you be against<br>or in favour of having this<br>scheme in [country]?",ESS
4,15,Against,-,-,-,-,41.3,,100.0,0.413,-1,-1,Against,-41.3,2016-12-31,ESS,880.0,,15+,In-person,Iceland,-,,False,,https://citizensincome.org/wp-content/uploads/2017/11/European-Social-Survey-survey-on-Basic-Income.pdf,Only year specified,"Some countries are currently talking about introducing a basic income scheme. In a moment I will ask you to tell me whether you are against or in favour of this scheme. First, I will give you some more details. The highlighted box at the top of this card shows the main features of the scheme. A basic income scheme includes all of the following: ...READ OUT...- The government pays everyone a monthly income to cover essential living costs. - It replaces Maley other social benefits. - The purpose is to guarantee everyone a minimum standard of living. - Everyone receives the same amount regardless of whether or not they are working. - People also keep the money they earn from work or other sources. - This scheme is paid for by taxes. INTERVIEWER: PAUSE TO GIVE THE RESPONDENT TIME TO READ CARD. Overall, would you be against or in favour of having this scheme in [country]?",UBI [framed as essential living costs w/o work requirement],,59,,0,"Some countries are currently<br>talking about introducing a<br>basic income scheme. In a<br>moment I will ask you to tell<br>me whether you are against or<br>in favour of this scheme.<br>First, I will give you some<br>more details. The highlighted<br>box at the top of this card<br>shows the main features of the<br>scheme. A basic income scheme<br>includes all of the following:<br>...READ OUT...- The government<br>pays everyone a monthly income<br>to cover essential living<br>costs. - It replaces Maley<br>other social benefits. - The<br>purpose is to guarantee<br>everyone a minimum standard of<br>living. - Everyone receives<br>the same amount regardless of<br>whether or not they are<br>working. - People also keep<br>the money they earn from work<br>or other sources. - This<br>scheme is paid for by taxes.<br>INTERVIEWER: PAUSE TO GIVE THE<br>RESPONDENT TIME TO READ CARD.<br>Overall, would you be against<br>or in favour of having this<br>scheme in [country]?",ESS
4,15,Strongly against,-,-,-,-,12.7,,100.0,0.127,-1,-2,Strongly against,-12.7,2016-12-31,ESS,880.0,,15+,In-person,Iceland,-,,False,,https://citizensincome.org/wp-content/uploads/2017/11/European-Social-Survey-survey-on-Basic-Income.pdf,Only year specified,"Some countries are currently talking about introducing a basic income scheme. In a moment I will ask you to tell me whether you are against or in favour of this scheme. First, I will give you some more details. The highlighted box at the top of this card shows the main features of the scheme. A basic income scheme includes all of the following: ...READ OUT...- The government pays everyone a monthly income to cover essential living costs. - It replaces Maley other social benefits. - The purpose is to guarantee everyone a minimum standard of living. - Everyone receives the same amount regardless of whether or not they are working. - People also keep the money they earn from work or other sources. - This scheme is paid for by taxes. INTERVIEWER: PAUSE TO GIVE THE RESPONDENT TIME TO READ CARD. Overall, would you be against or in favour of having this scheme in [country]?",UBI [framed as essential living costs w/o work requirement],,59,,0,"Some countries are currently<br>talking about introducing a<br>basic income scheme. In a<br>moment I will ask you to tell<br>me whether you are against or<br>in favour of this scheme.<br>First, I will give you some<br>more details. The highlighted<br>box at the top of this card<br>shows the main features of the<br>scheme. A basic income scheme<br>includes all of the following:<br>...READ OUT...- The government<br>pays everyone a monthly income<br>to cover essential living<br>costs. - It replaces Maley<br>other social benefits. - The<br>purpose is to guarantee<br>everyone a minimum standard of<br>living. - Everyone receives<br>the same amount regardless of<br>whether or not they are<br>working. - People also keep<br>the money they earn from work<br>or other sources. - This<br>scheme is paid for by taxes.<br>INTERVIEWER: PAUSE TO GIVE THE<br>RESPONDENT TIME TO READ CARD.<br>Overall, would you be against<br>or in favour of having this<br>scheme in [country]?",ESS
31,15,Strongly in favour,-,-,-,-,10.0,,100.0,0.1,1,2,Strongly in favour,10.0,2016-12-31,ESS,1307.0,,15+,In-person,Slovenia,-,,False,,https://citizensincome.org/wp-content/uploads/2017/11/European-Social-Survey-survey-on-Basic-Income.pdf,Only year specified,"Some countries are currently talking about introducing a basic income scheme. In a moment I will ask you to tell me whether you are against or in favour of this scheme. First, I will give you some more details. The highlighted box at the top of this card shows the main features of the scheme. A basic income scheme includes all of the following: ...READ OUT...- The government pays everyone a monthly income to cover essential living costs. - It replaces Maley other social benefits. - The purpose is to guarantee everyone a minimum standard of living. - Everyone receives the same amount regardless of whether or not they are working. - People also keep the money they earn from work or other sources. - This scheme is paid for by taxes. INTERVIEWER: PAUSE TO GIVE THE RESPONDENT TIME TO READ CARD. Overall, would you be against or in favour of having this scheme in [country]?",UBI [framed as essential living costs w/o work requirement],,59,,0,"Some countries are currently<br>talking about introducing a<br>basic income scheme. In a<br>moment I will ask you to tell<br>me whether you are against or<br>in favour of this scheme.<br>First, I will give you some<br>more details. The highlighted<br>box at the top of this card<br>shows the main features of the<br>scheme. A basic income scheme<br>includes all of the following:<br>...READ OUT...- The government<br>pays everyone a monthly income<br>to cover essential living<br>costs. - It replaces Maley<br>other social benefits. - The<br>purpose is to guarantee<br>everyone a minimum standard of<br>living. - Everyone receives<br>the same amount regardless of<br>whether or not they are<br>working. - People also keep<br>the money they earn from work<br>or other sources. - This<br>scheme is paid for by taxes.<br>INTERVIEWER: PAUSE TO GIVE THE<br>RESPONDENT TIME TO READ CARD.<br>Overall, would you be against<br>or in favour of having this<br>scheme in [country]?",ESS
31,15,In favour,-,-,-,-,55.1,,100.0,0.551,1,1,In favour,55.1,2016-12-31,ESS,1307.0,,15+,In-person,Slovenia,-,,False,,https://citizensincome.org/wp-content/uploads/2017/11/European-Social-Survey-survey-on-Basic-Income.pdf,Only year specified,"Some countries are currently talking about introducing a basic income scheme. In a moment I will ask you to tell me whether you are against or in favour of this scheme. First, I will give you some more details. The highlighted box at the top of this card shows the main features of the scheme. A basic income scheme includes all of the following: ...READ OUT...- The government pays everyone a monthly income to cover essential living costs. - It replaces Maley other social benefits. - The purpose is to guarantee everyone a minimum standard of living. - Everyone receives the same amount regardless of whether or not they are working. - People also keep the money they earn from work or other sources. - This scheme is paid for by taxes. INTERVIEWER: PAUSE TO GIVE THE RESPONDENT TIME TO READ CARD. Overall, would you be against or in favour of having this scheme in [country]?",UBI [framed as essential living costs w/o work requirement],,59,,0,"Some countries are currently<br>talking about introducing a<br>basic income scheme. In a<br>moment I will ask you to tell<br>me whether you are against or<br>in favour of this scheme.<br>First, I will give you some<br>more details. The highlighted<br>box at the top of this card<br>shows the main features of the<br>scheme. A basic income scheme<br>includes all of the following:<br>...READ OUT...- The government<br>pays everyone a monthly income<br>to cover essential living<br>costs. - It replaces Maley<br>other social benefits. - The<br>purpose is to guarantee<br>everyone a minimum standard of<br>living. - Everyone receives<br>the same amount regardless of<br>whether or not they are<br>working. - People also keep<br>the money they earn from work<br>or other sources. - This<br>scheme is paid for by taxes.<br>INTERVIEWER: PAUSE TO GIVE THE<br>RESPONDENT TIME TO READ CARD.<br>Overall, would you be against<br>or in favour of having this<br>scheme in [country]?",ESS
31,15,Against,-,-,-,-,29.3,,100.0,0.293,-1,-1,Against,-29.3,2016-12-31,ESS,1307.0,,15+,In-person,Slovenia,-,,False,,https://citizensincome.org/wp-content/uploads/2017/11/European-Social-Survey-survey-on-Basic-Income.pdf,Only year specified,"Some countries are currently talking about introducing a basic income scheme. In a moment I will ask you to tell me whether you are against or in favour of this scheme. First, I will give you some more details. The highlighted box at the top of this card shows the main features of the scheme. A basic income scheme includes all of the following: ...READ OUT...- The government pays everyone a monthly income to cover essential living costs. - It replaces Maley other social benefits. - The purpose is to guarantee everyone a minimum standard of living. - Everyone receives the same amount regardless of whether or not they are working. - People also keep the money they earn from work or other sources. - This scheme is paid for by taxes. INTERVIEWER: PAUSE TO GIVE THE RESPONDENT TIME TO READ CARD. Overall, would you be against or in favour of having this scheme in [country]?",UBI [framed as essential living costs w/o work requirement],,59,,0,"Some countries are currently<br>talking about introducing a<br>basic income scheme. In a<br>moment I will ask you to tell<br>me whether you are against or<br>in favour of this scheme.<br>First, I will give you some<br>more details. The highlighted<br>box at the top of this card<br>shows the main features of the<br>scheme. A basic income scheme<br>includes all of the following:<br>...READ OUT...- The government<br>pays everyone a monthly income<br>to cover essential living<br>costs. - It replaces Maley<br>other social benefits. - The<br>purpose is to guarantee<br>everyone a minimum standard of<br>living. - Everyone receives<br>the same amount regardless of<br>whether or not they are<br>working. - People also keep<br>the money they earn from work<br>or other sources. - This<br>scheme is paid for by taxes.<br>INTERVIEWER: PAUSE TO GIVE THE<br>RESPONDENT TIME TO READ CARD.<br>Overall, would you be against<br>or in favour of having this<br>scheme in [country]?",ESS
31,15,Strongly against,-,-,-,-,5.6,,100.0,0.055999999999999994,-1,-2,Strongly against,-5.6,2016-12-31,ESS,1307.0,,15+,In-person,Slovenia,-,,False,,https://citizensincome.org/wp-content/uploads/2017/11/European-Social-Survey-survey-on-Basic-Income.pdf,Only year specified,"Some countries are currently talking about introducing a basic income scheme. In a moment I will ask you to tell me whether you are against or in favour of this scheme. First, I will give you some more details. The highlighted box at the top of this card shows the main features of the scheme. A basic income scheme includes all of the following: ...READ OUT...- The government pays everyone a monthly income to cover essential living costs. - It replaces Maley other social benefits. - The purpose is to guarantee everyone a minimum standard of living. - Everyone receives the same amount regardless of whether or not they are working. - People also keep the money they earn from work or other sources. - This scheme is paid for by taxes. INTERVIEWER: PAUSE TO GIVE THE RESPONDENT TIME TO READ CARD. Overall, would you be against or in favour of having this scheme in [country]?",UBI [framed as essential living costs w/o work requirement],,59,,0,"Some countries are currently<br>talking about introducing a<br>basic income scheme. In a<br>moment I will ask you to tell<br>me whether you are against or<br>in favour of this scheme.<br>First, I will give you some<br>more details. The highlighted<br>box at the top of this card<br>shows the main features of the<br>scheme. A basic income scheme<br>includes all of the following:<br>...READ OUT...- The government<br>pays everyone a monthly income<br>to cover essential living<br>costs. - It replaces Maley<br>other social benefits. - The<br>purpose is to guarantee<br>everyone a minimum standard of<br>living. - Everyone receives<br>the same amount regardless of<br>whether or not they are<br>working. - People also keep<br>the money they earn from work<br>or other sources. - This<br>scheme is paid for by taxes.<br>INTERVIEWER: PAUSE TO GIVE THE<br>RESPONDENT TIME TO READ CARD.<br>Overall, would you be against<br>or in favour of having this<br>scheme in [country]?",ESS
32,15,Strongly in favour,-,-,-,-,6.9,,100.0,0.069,1,2,Strongly in favour,6.9,2016-12-31,ESS,1525.0,,15+,In-person,Switzerland,-,,False,,https://citizensincome.org/wp-content/uploads/2017/11/European-Social-Survey-survey-on-Basic-Income.pdf,Only year specified,"Some countries are currently talking about introducing a basic income scheme. In a moment I will ask you to tell me whether you are against or in favour of this scheme. First, I will give you some more details. The highlighted box at the top of this card shows the main features of the scheme. A basic income scheme includes all of the following: ...READ OUT...- The government pays everyone a monthly income to cover essential living costs. - It replaces Maley other social benefits. - The purpose is to guarantee everyone a minimum standard of living. - Everyone receives the same amount regardless of whether or not they are working. - People also keep the money they earn from work or other sources. - This scheme is paid for by taxes. INTERVIEWER: PAUSE TO GIVE THE RESPONDENT TIME TO READ CARD. Overall, would you be against or in favour of having this scheme in [country]?",UBI [framed as essential living costs w/o work requirement],,59,,0,"Some countries are currently<br>talking about introducing a<br>basic income scheme. In a<br>moment I will ask you to tell<br>me whether you are against or<br>in favour of this scheme.<br>First, I will give you some<br>more details. The highlighted<br>box at the top of this card<br>shows the main features of the<br>scheme. A basic income scheme<br>includes all of the following:<br>...READ OUT...- The government<br>pays everyone a monthly income<br>to cover essential living<br>costs. - It replaces Maley<br>other social benefits. - The<br>purpose is to guarantee<br>everyone a minimum standard of<br>living. - Everyone receives<br>the same amount regardless of<br>whether or not they are<br>working. - People also keep<br>the money they earn from work<br>or other sources. - This<br>scheme is paid for by taxes.<br>INTERVIEWER: PAUSE TO GIVE THE<br>RESPONDENT TIME TO READ CARD.<br>Overall, would you be against<br>or in favour of having this<br>scheme in [country]?",ESS
32,15,In favour,-,-,-,-,27.8,,100.0,0.278,1,1,In favour,27.8,2016-12-31,ESS,1525.0,,15+,In-person,Switzerland,-,,False,,https://citizensincome.org/wp-content/uploads/2017/11/European-Social-Survey-survey-on-Basic-Income.pdf,Only year specified,"Some countries are currently talking about introducing a basic income scheme. In a moment I will ask you to tell me whether you are against or in favour of this scheme. First, I will give you some more details. The highlighted box at the top of this card shows the main features of the scheme. A basic income scheme includes all of the following: ...READ OUT...- The government pays everyone a monthly income to cover essential living costs. - It replaces Maley other social benefits. - The purpose is to guarantee everyone a minimum standard of living. - Everyone receives the same amount regardless of whether or not they are working. - People also keep the money they earn from work or other sources. - This scheme is paid for by taxes. INTERVIEWER: PAUSE TO GIVE THE RESPONDENT TIME TO READ CARD. Overall, would you be against or in favour of having this scheme in [country]?",UBI [framed as essential living costs w/o work requirement],,59,,0,"Some countries are currently<br>talking about introducing a<br>basic income scheme. In a<br>moment I will ask you to tell<br>me whether you are against or<br>in favour of this scheme.<br>First, I will give you some<br>more details. The highlighted<br>box at the top of this card<br>shows the main features of the<br>scheme. A basic income scheme<br>includes all of the following:<br>...READ OUT...- The government<br>pays everyone a monthly income<br>to cover essential living<br>costs. - It replaces Maley<br>other social benefits. - The<br>purpose is to guarantee<br>everyone a minimum standard of<br>living. - Everyone receives<br>the same amount regardless of<br>whether or not they are<br>working. - People also keep<br>the money they earn from work<br>or other sources. - This<br>scheme is paid for by taxes.<br>INTERVIEWER: PAUSE TO GIVE THE<br>RESPONDENT TIME TO READ CARD.<br>Overall, would you be against<br>or in favour of having this<br>scheme in [country]?",ESS
32,15,Against,-,-,-,-,43.2,,100.0,0.43200000000000005,-1,-1,Against,-43.2,2016-12-31,ESS,1525.0,,15+,In-person,Switzerland,-,,False,,https://citizensincome.org/wp-content/uploads/2017/11/European-Social-Survey-survey-on-Basic-Income.pdf,Only year specified,"Some countries are currently talking about introducing a basic income scheme. In a moment I will ask you to tell me whether you are against or in favour of this scheme. First, I will give you some more details. The highlighted box at the top of this card shows the main features of the scheme. A basic income scheme includes all of the following: ...READ OUT...- The government pays everyone a monthly income to cover essential living costs. - It replaces Maley other social benefits. - The purpose is to guarantee everyone a minimum standard of living. - Everyone receives the same amount regardless of whether or not they are working. - People also keep the money they earn from work or other sources. - This scheme is paid for by taxes. INTERVIEWER: PAUSE TO GIVE THE RESPONDENT TIME TO READ CARD. Overall, would you be against or in favour of having this scheme in [country]?",UBI [framed as essential living costs w/o work requirement],,59,,0,"Some countries are currently<br>talking about introducing a<br>basic income scheme. In a<br>moment I will ask you to tell<br>me whether you are against or<br>in favour of this scheme.<br>First, I will give you some<br>more details. The highlighted<br>box at the top of this card<br>shows the main features of the<br>scheme. A basic income scheme<br>includes all of the following:<br>...READ OUT...- The government<br>pays everyone a monthly income<br>to cover essential living<br>costs. - It replaces Maley<br>other social benefits. - The<br>purpose is to guarantee<br>everyone a minimum standard of<br>living. - Everyone receives<br>the same amount regardless of<br>whether or not they are<br>working. - People also keep<br>the money they earn from work<br>or other sources. - This<br>scheme is paid for by taxes.<br>INTERVIEWER: PAUSE TO GIVE THE<br>RESPONDENT TIME TO READ CARD.<br>Overall, would you be against<br>or in favour of having this<br>scheme in [country]?",ESS
32,15,Strongly against,-,-,-,-,22.1,,100.0,0.221,-1,-2,Strongly against,-22.1,2016-12-31,ESS,1525.0,,15+,In-person,Switzerland,-,,False,,https://citizensincome.org/wp-content/uploads/2017/11/European-Social-Survey-survey-on-Basic-Income.pdf,Only year specified,"Some countries are currently talking about introducing a basic income scheme. In a moment I will ask you to tell me whether you are against or in favour of this scheme. First, I will give you some more details. The highlighted box at the top of this card shows the main features of the scheme. A basic income scheme includes all of the following: ...READ OUT...- The government pays everyone a monthly income to cover essential living costs. - It replaces Maley other social benefits. - The purpose is to guarantee everyone a minimum standard of living. - Everyone receives the same amount regardless of whether or not they are working. - People also keep the money they earn from work or other sources. - This scheme is paid for by taxes. INTERVIEWER: PAUSE TO GIVE THE RESPONDENT TIME TO READ CARD. Overall, would you be against or in favour of having this scheme in [country]?",UBI [framed as essential living costs w/o work requirement],,59,,0,"Some countries are currently<br>talking about introducing a<br>basic income scheme. In a<br>moment I will ask you to tell<br>me whether you are against or<br>in favour of this scheme.<br>First, I will give you some<br>more details. The highlighted<br>box at the top of this card<br>shows the main features of the<br>scheme. A basic income scheme<br>includes all of the following:<br>...READ OUT...- The government<br>pays everyone a monthly income<br>to cover essential living<br>costs. - It replaces Maley<br>other social benefits. - The<br>purpose is to guarantee<br>everyone a minimum standard of<br>living. - Everyone receives<br>the same amount regardless of<br>whether or not they are<br>working. - People also keep<br>the money they earn from work<br>or other sources. - This<br>scheme is paid for by taxes.<br>INTERVIEWER: PAUSE TO GIVE THE<br>RESPONDENT TIME TO READ CARD.<br>Overall, would you be against<br>or in favour of having this<br>scheme in [country]?",ESS
